Reference Number,Transaction Post Date,Description of Transaction,Transaction Type,Amount
0000000012,05/01/24,,interest,115.05
0000000011,04/06/24,Formerly Chuck's WA United States,clearing,116.90
0000000010,04/05/24,,payment_transaction,-1150.50
0000000009,04/04/24,Sneed's Feed and Seed WA United States,clearing,1169.69
0000000008,04/01/23,,interest,15.05
0000000007,03/04/23,Formerly Chuck's WA United States,clearing,16.90
0000000006,03/03/23,,payment_transaction,-150.50
0000000005,03/03/23,Sneed's Feed and Seed WA United States,clearing,169.69
0000000004,03/01/22,,interest,5.05
0000000003,02/04/22,Formerly Chuck's WA United States,clearing,6.90
0000000002,02/03/22,,payment_transaction,-50.50
0000000001,02/02/22,Sneed's Feed and Seed WA United States,clearing,69.69
